,Open,High,Low,Close,Volume,Close time
0,35.51,59.0,32.102,33.825,3178597.877,2021-04-25 23:59:59.999
1,33.964,48.436,31.8,43.726,3976314.713,2021-05-02 23:59:59.999
2,43.726,47.0,34.177,35.81,2124927.873,2021-05-09 23:59:59.999
3,35.81,39.32,27.5,29.791,2075608.57,2021-05-16 23:59:59.999
4,29.659,33.0,7.099,15.967,2154374.989,2021-05-23 23:59:59.999
5,15.967,27.0,15.102,21.989,2040898.708,2021-05-30 23:59:59.999
6,21.98,24.393,19.583,19.997,786438.037,2021-06-06 23:59:59.999
7,19.997,21.207,14.01,16.399,1361669.944,2021-06-13 23:59:59.999
8,16.375,18.9,13.993,15.038,761358.237,2021-06-20 23:59:59.999
9,15.012,24.627,9.626,19.014,7635462.576,2021-06-27 23:59:59.999
10,19.0,20.0,13.501,16.923,5991299.291,2021-07-04 23:59:59.999
11,16.899,23.7,16.0,19.119,5176838.597,2021-07-11 23:59:59.999
12,19.118,19.246,13.494,14.437,2630183.724,2021-07-18 23:59:59.999
13,14.455,17.18,12.606,16.459,2404906.419,2021-07-25 23:59:59.999
14,16.459,17.7,14.548,15.131,1744189.166,2021-08-01 23:59:59.999
15,15.116,19.5,14.77,16.793,3251689.079,2021-08-08 23:59:59.999
16,16.826,19.1,16.091,18.281,2528632.493,2021-08-15 23:59:59.999
17,18.284,20.95,16.1,17.35,2470037.236,2021-08-22 23:59:59.999
18,17.35,23.5,17.272,18.65,3848828.397,2021-08-29 23:59:59.999
19,18.67,19.58,17.13,18.9,1624249.511,2021-09-05 23:59:59.999
20,18.91,19.8,13.89,15.49,1906378.456,2021-09-12 23:59:59.999
21,15.49,18.68,13.66,14.99,2580526.525,2021-09-19 23:59:59.999
22,14.99,15.57,11.22,12.22,2516868.894,2021-09-26 23:59:59.999
23,12.22,14.38,11.91,13.34,1397640.79,2021-10-03 23:59:59.999
24,13.33,14.99,12.72,13.2,1351636.0,2021-10-10 23:59:59.999
25,13.19,21.35,12.13,14.0,4194757.759,2021-10-17 23:59:59.999
26,14.0,20.22,13.85,15.05,6702354.69,2021-10-24 23:59:59.999
27,15.08,22.38,14.0,16.39,3235659.644,2021-10-31 23:59:59.999
28,16.41,18.87,15.41,16.77,2466056.89,2021-11-07 23:59:59.999
29,16.77,18.0,15.59,16.02,1586390.89,2021-11-14 23:59:59.999
30,16.05,16.26,12.7,14.01,1247975.6,2021-11-21 23:59:59.999
31,14.01,17.49,12.91,13.9,1852609.6,2021-11-28 23:59:59.999
32,13.91,14.76,10.79,11.06,1310919.41,2021-12-05 23:59:59.999
33,11.06,12.0,9.87,10.57,1605516.027,2021-12-12 23:59:59.999
34,10.56,10.57,9.12,9.51,841563.47,2021-12-19 23:59:59.999
35,9.51,12.8,8.71,10.75,1747575.87,2021-12-26 23:59:59.999
36,10.77,11.03,9.0,9.36,995298.57,2022-01-02 23:59:59.999
37,9.34,10.0,7.57,7.86,883307.59,2022-01-09 23:59:59.999
38,7.85,8.65,6.94,7.73,1015083.33,2022-01-16 23:59:59.999
39,7.72,7.72,4.73,5.38,1381796.833,2022-01-23 23:59:59.999
40,5.4,6.88,4.45,5.13,1993241.54,2022-01-30 23:59:59.999
41,5.12,12.39,4.93,7.43,18183801.62,2022-02-06 23:59:59.999
42,7.43,8.34,6.26,7.12,6436559.53,2022-02-13 23:59:59.999
43,7.12,7.87,5.84,6.02,3868654.11,2022-02-20 23:59:59.999
44,6.02,8.8,5.29,5.91,10936411.75,2022-02-27 23:59:59.999
45,5.91,8.65,5.9,6.27,5895124.21,2022-03-06 23:59:59.999
46,6.26,7.65,6.16,6.43,3214274.2,2022-03-13 23:59:59.999
47,6.42,7.7,6.35,7.0,3313577.47,2022-03-20 23:59:59.999
48,7.0,7.9,6.8,7.75,1972414.03,2022-03-27 23:59:59.999
49,7.78,8.6,7.1,7.94,2887388.26,2022-04-03 23:59:59.999
50,7.94,8.47,6.58,6.59,1902606.65,2022-04-10 23:59:59.999
51,6.59,6.76,5.68,6.02,1234774.49,2022-04-17 23:59:59.999
52,6.02,6.35,5.68,5.68,1070094.36,2022-04-24 23:59:59.999
53,5.68,5.72,4.27,4.62,837632.95,2022-05-01 23:59:59.999
54,4.62,5.41,3.91,4.63,3586268.25,2022-05-08 23:59:59.999
55,4.64,7.2,1.96,3.2,16227320.21,2022-05-15 23:59:59.999
56,3.2,4.77,3.04,3.48,5989328.04,2022-05-22 23:59:59.999
57,3.48,4.4,2.82,3.5,3829388.02,2022-05-29 23:59:59.999
58,3.5,3.99,3.1,3.38,2304626.2,2022-06-05 23:59:59.999
